IFSP – Birigui,SP,-21.2489148,-50.31397846593214
FINEP – SP,SP,-22.9327014,-43.17489775
Universidade Federal de São Paulo - UNIFESP,SP,-23.9903597,-46.3008931
Hospital São Paulo,SP,-23.5977766,-46.6435335
IFSP – Registro,SP,-24.5335627,-47.86877272392693
Escola de Enfermagem da USP,SP,-19.92475285,-43.93088443360696
UNICAMP,SP,48.8703655,16.7258147
Faculdade de Saúde Pública da USP,SP,-23.5534822,-46.672724
Hospital das Clínicas,SP,-22.82612585,-47.06436100876955
IFSP - Sorocaba,SP,-23.1968382,-47.3016354476207
USP,SP,-23.56096405,-46.72770807289966
IFSP - São Carlos,SP,-21.9698639,-47.87834936194543
Cinemateca Brasileira,SP,-23.59192495,-46.6460727
UNESP,SP,-22.8494362,-48.4352982
CEMADEN – São José dos Campos,SP,-23.1576612,-45.793064243006185
IFSP – Presidente Epitácio,SP,-21.785702450000002,-52.1118188170575
USP - CEUMA,SP,-23.5461801,-46.650858419619006
UNIFESP – Guarulhos,SP,-23.43899065,-46.403969667654046
IFSP – Bragança Paulista,SP,-22.9489638,-46.55825156422786
Universidade Federal do ABC - UFABC,SP,-23.677388800000003,-46.564357842078465
IFSP – Guarulhos,SP,-23.4398281,-46.53697253637752
IFSP – São João da Boa Vista,SP,-21.967164500000003,-46.81268755003651
IFSP - Salto,SP,-23.1968382,-47.3016354476207
IFSP – Araraquara,SP,-21.9698639,-47.87834936194543
IFSP – São Roque,SP,-23.554477300000002,-47.150224767664874
UNIFESP – São José dos Campos,SP,-23.164686250000003,-45.79334093111363
Hospital Sírio Libanês,SP,-23.557593949999998,-46.65390324214939
Instituto Agronomico (IAC) - Campinas ,SP,-22.8750422,-47.0753293
Faculdade de Medicina da USP,SP,-23.5543653,-46.6704164
UNIFESP – São José dos Campos(PT),SP,-23.164686250000003,-45.79334093111363
Faculdade de Direito - USP,SP,40.208313849999996,-8.426210572290943
Hospital Amparo Maternal,SP,-23.6000575,-46.643394
FUNARTE - SP,SP,-15.7892313,-47.89673193909984
EBC - TV Brasil,SP,-21.7558839,-41.3231569
UFVJM campus I,MG,-17.882517149999998,-41.49756863116414
IFMG campus Santa Luzia,MG,-19.7938385,-43.9140210647198
IFSULDEMINAS campus Três Corações,MG,-21.6924733,-45.26011188062962
IFNMG campus Salinas,MG,-16.1556526,-42.30845960680793
IFNMG campus Januária,MG,-15.447765100000002,-44.36706798605873
UFVJM campus Janaúba,MG,-15.8675632,-43.307304
UFMG campus Pampulha,MG,-19.87317625,-43.97385326636239
IFMG campus São João Evangelista,MG,-18.550287,-42.76251836360061
